item_weight,item_visibility,item_mrp,item_outlet_sales,outlet_years,item_fat_content_1,item_type_1,item_type_2,item_type_3,item_type_4,item_type_5,item_type_6,item_type_7,item_type_8,item_type_9,item_type_10,item_type_11,item_type_12,item_type_13,item_type_14,item_type_15,outlet_size_1,outlet_size_2,outlet_location_type_1,outlet_location_type_2,outlet_type_1,outlet_type_2,outlet_type_3,new_item_type_1,new_item_type_2
9.0,0.06690732,54.3614,6.577024,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
8.26,0.033664614,113.2834,7.742258,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
13.35,0.097573176,230.5352,7.918782,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
18.85,0.12943953,250.8724,8.236178,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
8.315,0.034787748,144.5444,8.309934,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
14.6,0.025373489,196.5084,7.369769,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
15.5,0.05596153,107.6938,5.3677855,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13.85,0.02556685,165.021,8.313368,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
13.0,0.095207535,45.906,6.732101,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
7.645,0.064563625,42.3112,6.970993,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
11.65,0.019171184,39.1164,5.7331185,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5.925,0.14968348,45.5086,5.1842213,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
14.5,0.06973295,43.6454,4.834981,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19.25,0.15730162,55.7956,5.0985656,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
18.6,0.07772869,96.4436,7.916357,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
18.7,0.08210082,256.6672,8.028783,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
17.85,0.13216524,93.1436,7.684555,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
17.5,0.09340293,174.8738,7.642661,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
10.0,0.08552716,146.7102,8.240402,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
20.2,0.057808246,128.0678,7.93655,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
8.85,0.10717038,122.5388,7.38393,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
6.385,0.11610292,36.9874,5.9614215,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
15.25,0.026136402,87.6198,7.6873074,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
13.35,0.09759076,230.6352,8.141926,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
9.8,0.02646512,126.002,7.6734715,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
13.6,0.11137888,192.9136,7.834937,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
21.35,0.06681982,259.9278,8.820038,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
12.15,0.041408576,126.5046,5.922955,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
6.42,0.08571789,178.1002,5.8810925,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
19.6,0.020882018,153.3024,7.7951684,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
10.0,0.02555037,265.2226,8.668213,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
15.85,0.11478541,60.622,7.8542438,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
10.195,0.22745018,196.8794,6.659701,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7.39,0.06558146,143.8812,8.050253,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
10.195,0.1482509,141.5154,6.7462854,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
9.895,0.028292885,117.0492,6.6981993,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10.895,0.063013844,196.3794,8.045996,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
12.15,0.028354205,151.4708,8.479505,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
7.905,0.010002909,249.0408,8.741699,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
9.195,0.047033705,106.1622,7.6578703,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
8.365,0.06948707,38.0506,6.6808076,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15.1,0.1599748,194.511,8.499085,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
5.94,0.059289306,180.0344,6.7936587,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10.0,0.02298267,246.9144,8.066266,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
7.97,0.039289106,87.3514,6.9684896,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0
6.215,0.012017572,38.2848,6.183535,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
15.5,0.1400106,51.0692,4.9959116,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17.5,0.025682872,255.8356,7.84124,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
17.7,0.17820327,185.4266,5.217252,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
19.35,0.032546774,172.5738,8.489959,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0
13.65,0.07598506,186.024,7.019783,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
17.6,0.04085472,164.8526,7.7416797,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
8.645,0.1340261,95.841,7.61449,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
15.6,0.10011324,170.1764,8.141926,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
15.85,0.11469516,59.222,6.395629,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
18.25,0.055423822,164.7526,8.434827,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
7.855,0.011261215,189.6188,7.7341323,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
7.825,0.1708874,254.3698,8.627076,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
8.39,0.023917345,114.0176,7.7364607,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
12.85,0.032690607,172.3422,7.0959725,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
13.35,0.10770607,89.9804,6.466398,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19.0,0.10666053,104.9622,7.370188,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
5.905,0.042505093,222.5456,8.576423,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
7.76,0.05765763,101.87,7.437083,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
11.8,0.013988756,180.3344,7.263663,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
16.75,0.04423786,187.9556,8.454017,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
18.85,0.25728816,194.6136,6.3686,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12.6,0.030899692,171.3764,8.036566,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
15.5,0.11902569,177.0028,7.815788,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
6.055,0.025086582,160.992,7.9070864,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
20.2,0.038314223,155.963,8.097342,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
6.305,0.116106756,95.6436,6.4949713,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
20.85,0.038859114,117.2808,7.328667,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20.75,0.039625626,122.173,5.9122024,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
8.895,0.10009337,39.9138,6.537321,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19.6,0.03340595,55.1614,7.2309504,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
19.7,0.051845163,57.893,6.4337807,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
9.8,0.024086287,114.5492,7.1501846,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
7.93,0.009667711,120.0414,6.1890144,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12.15,0.12344145,246.046,7.116175,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
8.75,0.07196068,187.4556,8.230873,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
12.15,0.028062304,149.9708,8.381065,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
8.75,0.07197381,187.8556,7.1810513,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
13.3,0.061748773,151.0708,7.498676,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
20.6,0.044780068,178.5344,7.95681,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
8.31,0.10962292,179.1028,8.267773,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
16.75,0.024529483,38.7822,6.503985,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
19.75,0.033461764,212.0902,8.066475,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
17.1,0.04570885,141.1838,7.717681,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10.5,0.11026749,163.121,7.492388,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
6.635,0.0042152996,121.3098,7.8362536,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
9.395,0.24605827,225.372,6.520792,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
14.15,0.03528394,41.4138,6.69984,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
13.3,0.076781645,232.53,6.5497794,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8.89,0.0054903813,102.4016,7.9129515,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
6.69,0.06262295,176.937,5.1729636,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6.195,0.06918733,121.7098,8.318091,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
9.1,0.07235374,173.2054,8.055759,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
7.5,0.032155115,239.0906,8.689846,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
16.85,0.14907502,192.4478,8.485434,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
7.485,0.06682713,109.0228,7.840716,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
11.6,0.04035229,140.3154,7.844898,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
11.65,0.039298777,227.0694,7.0404024,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
13.0,0.03469831,47.5034,6.522751,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
12.65,0.061111886,159.0578,7.6429806,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
20.25,0.15865946,92.512,5.2280235,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
8.6,0.039411012,190.153,8.018312,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
12.6,0.04789263,62.7194,6.7648907,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
17.7,0.011544069,95.041,6.7671924,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
14.15,0.1684823,82.4276,7.0363126,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
19.25,0.09744383,52.7956,6.8331666,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
8.88,0.083153844,151.7682,6.636394,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20.5,0.03230759,40.2822,6.5611434,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
12.0,0.03325092,180.5976,8.983226,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
13.5,0.07015005,160.292,7.2710977,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
12.15,0.13482673,224.4404,8.850267,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
8.89,0.009121488,101.7016,4.6171145,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
7.855,0.011243592,188.5188,6.8586636,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
7.235,0.07404534,116.0492,7.5855026,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
18.25,0.058228225,165.4526,8.568358,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
6.92,0.03780824,60.5852,7.1810513,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
9.3,0.042302098,90.8172,6.2828336,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
18.5,0.055261057,132.1284,5.5746484,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
8.02,0.019671937,154.5972,7.2457795,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
9.195,0.047200058,105.1622,7.4347267,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
12.8,0.08729803,105.5938,7.6703706,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1
16.6,0.027247468,177.6344,7.892271,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
14.0,0.1207632,53.064,6.808474,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
18.6,0.03860124,246.3802,8.905228,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
16.0,0.05905777,226.8404,8.748485,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
17.6,0.079103656,160.692,7.376458,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
21.25,0.14440358,178.237,6.271576,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
7.235,0.07403184,117.5492,7.5855026,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
14.6,0.14099525,50.3692,6.9418216,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
13.85,0.025669673,161.521,7.492388,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
13.65,0.07065365,197.6426,7.9260235,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
9.5,0.040838137,31.29,6.801094,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
7.365,0.04167947,226.172,8.061237,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
18.35,0.013982937,223.5746,8.185905,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
5.465,0.034087267,132.5626,5.569585,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
18.6,0.14229646,99.8358,7.5549526,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
13.85,0.030499402,140.9154,7.4394326,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
14.0,0.058624294,154.5656,7.81256,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
14.0,0.041067902,54.764,7.1941366,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
21.35,0.074520506,97.0094,7.500518,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
5.905,0.044818677,222.5456,8.10642,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
7.27,0.06866556,114.2518,7.870392,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
6.155,0.0904437,214.556,7.9265046,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
19.5,0.07474455,233.4958,8.589515,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
15.2,0.02110323,216.8824,7.951197,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
12.15,0.04160771,125.0046,7.4634,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
14.6,0.02525687,198.8084,8.622532,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
12.6,0.047819022,61.9194,6.4284186,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
14.5,0.01928454,164.821,7.6594415,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1
16.6,0.115931414,173.0738,8.248796,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
11.8,0.055788286,151.4366,7.215409,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
13.1,0.043208517,178.8318,8.286395,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
17.7,0.25608724,115.1834,5.845138,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
17.85,0.06774054,196.5794,6.372019,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
12.3,0.06274005,92.6804,6.918383,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
11.8,0.09377484,81.4618,5.082172,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9.395,0.17480476,42.1112,3.7521172,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11.1,0.162606,157.4604,8.009944,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
14.0,0.058395732,153.0656,8.703533,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
11.3,0.0072681746,198.1426,6.8964043,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0
10.0,0.12087024,117.944,5.479338,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5.75,0.0724208,112.8176,7.225635,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
6.215,0.048200853,226.8062,8.463757,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
11.35,0.04417553,100.0016,6.9196997,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
11.1,0.08998123,165.7526,6.488917,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14.0,0.028497882,130.431,6.6579933,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
