item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales,new_item_type,outlet_years
FDS46,17.6,Regular,0.04617468,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,7.6709914,Food,16
FDF32,16.35,Low Fat,0.065810494,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,7.5895514,Food,26
FDP49,9.0,Regular,0.066806845,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,7.3442793,Food,16
NCB42,11.8,Low Fat,0.0085593145,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.3913465,Non-Consumables,4
FDP49,9.0,Regular,0.06690732,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.577024,Food,14
DRI11,8.26,Low Fat,0.033664614,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.742258,Drinks,28
FDU02,13.35,Low Fat,0.097573176,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,7.918782,Food,9
FDN22,18.85,Regular,0.12943953,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,8.236178,Food,26
FDW12,8.315,Regular,0.034787748,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.309934,Food,28
NCB30,14.6,Low Fat,0.025373489,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,7.369769,Non-Consumables,9
FDC37,15.5,Low Fat,0.05596153,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,5.3677855,Food,28
FDR28,13.85,Regular,0.02556685,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,8.313368,Food,16
NCD06,13.0,Low Fat,0.095207535,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,6.732101,Non-Consumables,6
FDV10,7.645,Regular,0.064563625,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,6.970993,Food,9
DRJ59,11.65,Low Fat,0.019171184,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,5.7331185,Drinks,26
FDE51,5.925,Regular,0.14968348,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,5.1842213,Food,15
FDC14,14.5,Regular,0.06973295,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,4.834981,Food,28
FDV38,19.25,Low Fat,0.15730162,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,5.0985656,Food,15
NCS17,18.6,Low Fat,0.07772869,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.916357,Non-Consumables,4
FDP33,18.7,Low Fat,0.08210082,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.028783,Food,4
FDO23,17.85,Low Fat,0.13216524,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,7.684555,Food,11
DRH01,17.5,Low Fat,0.09340293,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,7.642661,Drinks,16
NCX29,10.0,Low Fat,0.08552716,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.240402,Non-Consumables,14
FDV20,20.2,Regular,0.057808246,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.93655,Food,28
DRZ11,8.85,Regular,0.10717038,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.38393,Drinks,4
FDX10,6.385,Regular,0.11610292,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,5.9614215,Food,28
FDB34,15.25,Low Fat,0.026136402,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.6873074,Food,28
FDU02,13.35,Low Fat,0.09759076,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,8.141926,Food,16
FDK43,9.8,Low Fat,0.02646512,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,7.6734715,Food,26
FDA46,13.6,Low Fat,0.11137888,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.834937,Food,14
FDC02,21.35,Low Fat,0.06681982,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.820038,Food,4
FDL50,12.15,Regular,0.041408576,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,5.922955,Food,26
FDM39,6.42,Low Fat,0.08571789,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,5.8810925,Food,15
NCP05,19.6,Low Fat,0.020882018,Health and Hygiene,153.3024,OUT045,2002,Small,Tier 2,Supermarket Type1,7.7951684,Non-Consumables,11
FDV49,10.0,Low Fat,0.02555037,Canned,265.2226,OUT045,2002,Small,Tier 2,Supermarket Type1,8.668213,Food,11
FDL12,15.85,Regular,0.11478541,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,7.8542438,Food,16
FDS02,10.195,Regular,0.22745018,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,6.659701,Food,28
NCL17,7.39,Low Fat,0.06558146,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,8.050253,Non-Consumables,16
FDM40,10.195,Low Fat,0.1482509,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,6.7462854,Food,26
FDR13,9.895,Regular,0.028292885,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,6.6981993,Food,26
FDA43,10.895,Low Fat,0.063013844,Fruits and Vegetables,196.3794,OUT017,2007,Small,Tier 2,Supermarket Type1,8.045996,Food,6
NCP18,12.15,Low Fat,0.028354205,Household,151.4708,OUT017,2007,Small,Tier 2,Supermarket Type1,8.479505,Non-Consumables,6
FDK21,7.905,Low Fat,0.010002909,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.741699,Food,4
NCX54,9.195,Low Fat,0.047033705,Household,106.1622,OUT045,2002,Small,Tier 2,Supermarket Type1,7.6578703,Non-Consumables,11
DRK35,8.365,Low Fat,0.06948707,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.6808076,Drinks,14
FDY21,15.1,Low Fat,0.1599748,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,8.499085,Food,16
FDI26,5.94,Low Fat,0.059289306,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,6.7936587,Food,28
FDM20,10.0,Low Fat,0.02298267,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.066266,Food,4
FDV27,7.97,Regular,0.039289106,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,6.9684896,Food,11
FDF09,6.215,Low Fat,0.012017572,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,6.183535,Food,28
FDY40,15.5,Regular,0.1400106,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,4.9959116,Food,28
FDY45,17.5,Low Fat,0.025682872,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.84124,Food,28
FDC46,17.7,Low Fat,0.17820327,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,5.217252,Food,15
FDH19,19.35,Low Fat,0.032546774,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,8.489959,Food,9
FDZ03,13.65,Regular,0.07598506,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,7.019783,Food,11
DRH37,17.6,Low Fat,0.04085472,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,7.7416797,Drinks,11
NCI17,8.645,Low Fat,0.1340261,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,7.61449,Non-Consumables,16
FDJ58,15.6,Regular,0.10011324,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,8.141926,Food,16
FDL12,15.85,Regular,0.11469516,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,6.395629,Food,26
FDH35,18.25,Low Fat,0.055423822,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,8.434827,Food,11
FDG02,7.855,Low Fat,0.011261215,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,7.7341323,Food,6
NCZ18,7.825,Low Fat,0.1708874,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.627076,Non-Consumables,14
FDC29,8.39,Regular,0.023917345,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,7.7364607,Food,16
FDQ10,12.85,Low Fat,0.032690607,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.0959725,Food,14
FDN48,13.35,Low Fat,0.10770607,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,6.466398,Food,28
FDL04,19.0,Low Fat,0.10666053,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,7.370188,Food,6
FDV25,5.905,Low Fat,0.042505093,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,8.576423,Food,11
FDD58,7.76,Low Fat,0.05765763,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,7.437083,Food,16
FDN04,11.8,Regular,0.013988756,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,7.263663,Food,16
FDV45,16.75,Low Fat,0.04423786,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.454017,Food,4
NCL18,18.85,Low Fat,0.25728816,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,6.3686,Non-Consumables,28
FDR12,12.6,Regular,0.030899692,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.036566,Food,28
FDG20,15.5,Regular,0.11902569,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,7.815788,Food,6
FDZ55,6.055,Low Fat,0.025086582,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,7.9070864,Food,9
FDQ49,20.2,Regular,0.038314223,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.097342,Food,28
FDN33,6.305,Regular,0.116106756,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,6.4949713,Food,16
FDN27,20.85,Low Fat,0.038859114,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.328667,Food,14
FDW20,20.75,Low Fat,0.039625626,Fruits and Vegetables,122.173,OUT010,1998,Small,Tier 3,Grocery Store,5.9122024,Food,15
DRG27,8.895,Low Fat,0.10009337,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.537321,Drinks,14
DRI25,19.6,Low Fat,0.03340595,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,7.2309504,Drinks,11
FDA44,19.7,Low Fat,0.051845163,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,6.4337807,Food,9
NCR17,9.8,Low Fat,0.024086287,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,7.1501846,Non-Consumables,9
FDU04,7.93,Low Fat,0.009667711,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,6.1890144,Food,28
FDF41,12.15,Low Fat,0.12344145,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.116175,Food,14
FDB56,8.75,Regular,0.07196068,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,8.230873,Food,9
NCP18,12.15,Low Fat,0.028062304,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.381065,Non-Consumables,28
FDB56,8.75,Regular,0.07197381,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,7.1810513,Food,16
FDT28,13.3,Low Fat,0.061748773,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,7.498676,Food,11
FDD10,20.6,Regular,0.044780068,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.95681,Food,28
FDW57,8.31,Regular,0.10962292,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.267773,Food,14
DRB48,16.75,Regular,0.024529483,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,6.503985,Drinks,26
FDP09,19.75,Low Fat,0.033461764,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.066475,Food,4
FDH14,17.1,Regular,0.04570885,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,7.717681,Food,26
FDA47,10.5,Regular,0.11026749,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,7.492388,Food,26
FDG12,6.635,Regular,0.0042152996,Baking Goods,121.3098,OUT045,2002,Small,Tier 2,Supermarket Type1,7.8362536,Food,11
DRE60,9.395,Low Fat,0.24605827,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,6.520792,Drinks,28
DRK49,14.15,Low Fat,0.03528394,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,6.69984,Drinks,26
FDD03,13.3,Low Fat,0.076781645,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,6.5497794,Food,16
FDS52,8.89,Low Fat,0.0054903813,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,7.9129515,Food,6
FDW39,6.69,Regular,0.06262295,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,5.1729636,Food,28
FDX34,6.195,Low Fat,0.06918733,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.318091,Food,28
FDV11,9.1,Regular,0.07235374,Breads,173.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,8.055759,Food,11
FDD17,7.5,Low Fat,0.032155115,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.689846,Food,14
FDZ16,16.85,Regular,0.14907502,Frozen Foods,192.4478,OUT017,2007,Small,Tier 2,Supermarket Type1,8.485434,Food,6
FDZ46,7.485,Low Fat,0.06682713,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,7.840716,Food,9
DRA12,11.6,Low Fat,0.04035229,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,7.844898,Drinks,6
FDY58,11.65,Low Fat,0.039298777,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.0404024,Food,4
NCF19,13.0,Low Fat,0.03469831,Household,47.5034,OUT017,2007,Small,Tier 2,Supermarket Type1,6.522751,Non-Consumables,6
DRJ13,12.65,Low Fat,0.061111886,Soft Drinks,159.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,7.6429806,Drinks,11
FDB14,20.25,Regular,0.15865946,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,5.2280235,Food,15
FDJ38,8.6,Regular,0.039411012,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,8.018312,Food,9
FDW11,12.6,Low Fat,0.04789263,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,6.7648907,Food,6
FDL40,17.7,Low Fat,0.011544069,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,6.7671924,Food,9
DRI49,14.15,Low Fat,0.1684823,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,7.0363126,Drinks,16
FDV38,19.25,Low Fat,0.09744383,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,6.8331666,Food,6
DRG23,8.88,Low Fat,0.083153844,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,6.636394,Drinks,26
NCP30,20.5,Low Fat,0.03230759,Household,40.2822,OUT045,2002,Small,Tier 2,Supermarket Type1,6.5611434,Non-Consumables,11
FDY25,12.0,Low Fat,0.03325092,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.983226,Food,28
NCH54,13.5,Low Fat,0.07015005,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,7.2710977,Non-Consumables,16
NCR53,12.15,Low Fat,0.13482673,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.850267,Non-Consumables,28
FDS52,8.89,Low Fat,0.009121488,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,4.6171145,Food,15
FDG02,7.855,Low Fat,0.011243592,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.8586636,Food,4
NCO26,7.235,Low Fat,0.07404534,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,7.5855026,Non-Consumables,16
FDH35,18.25,Low Fat,0.058228225,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.568358,Food,28
FDB51,6.92,Low Fat,0.03780824,Dairy,60.5852,OUT045,2002,Small,Tier 2,Supermarket Type1,7.1810513,Food,11
FDX44,9.3,Low Fat,0.042302098,Fruits and Vegetables,90.8172,OUT017,2007,Small,Tier 2,Supermarket Type1,6.2828336,Food,6
NCN07,18.5,Low Fat,0.055261057,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,5.5746484,Non-Consumables,15
NCC31,8.02,Low Fat,0.019671937,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,7.2457795,Non-Consumables,9
NCX54,9.195,Low Fat,0.047200058,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,7.4347267,Non-Consumables,6
NCO55,12.8,Low Fat,0.08729803,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,7.6703706,Non-Consumables,11
NCC30,16.6,Low Fat,0.027247468,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.892271,Non-Consumables,14
FDI16,14.0,Regular,0.1207632,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,6.808474,Food,9
FDP16,18.6,Low Fat,0.03860124,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.905228,Food,14
FDB11,16.0,Low Fat,0.05905777,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,8.748485,Food,9
NCB06,17.6,Low Fat,0.079103656,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,7.376458,Non-Consumables,9
FDA45,21.25,Low Fat,0.14440358,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,6.271576,Food,9
NCO26,7.235,Low Fat,0.07403184,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,7.5855026,Non-Consumables,9
DRJ25,14.6,Low Fat,0.14099525,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,6.9418216,Drinks,6
FDR28,13.85,Regular,0.025669673,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.492388,Food,4
FDI04,13.65,Regular,0.07065365,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.9260235,Food,4
DRK12,9.5,Low Fat,0.040838137,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,6.801094,Drinks,28
FDX20,7.365,Low Fat,0.04167947,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,8.061237,Food,16
NCI18,18.35,Low Fat,0.013982937,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.185905,Non-Consumables,4
FDB36,5.465,Regular,0.034087267,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.569585,Food,4
FDN13,18.6,Low Fat,0.14229646,Breakfast,99.8358,OUT017,2007,Small,Tier 2,Supermarket Type1,7.5549526,Food,6
DRD24,13.85,Low Fat,0.030499402,Soft Drinks,140.9154,OUT017,2007,Small,Tier 2,Supermarket Type1,7.4394326,Drinks,6
FDQ28,14.0,Regular,0.058624294,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,7.81256,Food,26
FDM22,14.0,Regular,0.041067902,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,7.1941366,Food,26
FDR07,21.35,Low Fat,0.074520506,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.500518,Food,28
FDV25,5.905,Low Fat,0.044818677,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.10642,Food,4
DRF49,7.27,Low Fat,0.06866556,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,7.870392,Drinks,16
FDW51,6.155,Regular,0.0904437,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,7.9265046,Food,16
DRL01,19.5,Regular,0.07474455,Soft Drinks,233.4958,OUT017,2007,Small,Tier 2,Supermarket Type1,8.589515,Drinks,6
FDP25,15.2,Low Fat,0.02110323,Canned,216.8824,OUT017,2007,Small,Tier 2,Supermarket Type1,7.951197,Food,6
FDL50,12.15,Regular,0.04160771,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.4634,Food,4
NCB30,14.6,Low Fat,0.02525687,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.622532,Non-Consumables,28
FDW11,12.6,Low Fat,0.047819022,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.4284186,Food,4
NCM43,14.5,Low Fat,0.01928454,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,7.6594415,Non-Consumables,9
FDK44,16.6,Low Fat,0.115931414,Fruits and Vegetables,173.0738,OUT017,2007,Small,Tier 2,Supermarket Type1,8.248796,Food,6
FDM15,11.8,Regular,0.055788286,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,7.215409,Food,26
FDS31,13.1,Regular,0.043208517,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,8.286395,Food,26
FDI32,17.7,Low Fat,0.25608724,Fruits and Vegetables,115.1834,OUT010,1998,Small,Tier 3,Grocery Store,5.845138,Food,15
FDR47,17.85,Low Fat,0.06774054,Breads,196.5794,OUT010,1998,Small,Tier 3,Grocery Store,6.372019,Food,15
FDB35,12.3,Regular,0.06274005,Starchy Foods,92.6804,OUT045,2002,Small,Tier 2,Supermarket Type1,6.918383,Food,11
NCU05,11.8,Low Fat,0.09377484,Health and Hygiene,81.4618,OUT010,1998,Small,Tier 3,Grocery Store,5.082172,Non-Consumables,15
DRY23,9.395,Regular,0.17480476,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,3.7521172,Drinks,28
FDO24,11.1,Low Fat,0.162606,Baking Goods,157.4604,OUT045,2002,Small,Tier 2,Supermarket Type1,8.009944,Food,11
FDQ28,14.0,Regular,0.058395732,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.703533,Food,28
FDV39,11.3,Low Fat,0.0072681746,Meat,198.1426,OUT045,2002,Small,Tier 2,Supermarket Type1,6.8964043,Food,11
NCO17,10.0,Low Fat,0.12087024,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,5.479338,Non-Consumables,28
FDU50,5.75,Regular,0.0724208,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,7.225635,Food,26
FDT12,6.215,Regular,0.048200853,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.463757,Food,28
FDK58,11.35,Regular,0.04417553,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.9196997,Food,4
FDO08,11.1,Regular,0.08998123,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,6.488917,Food,28
NCW29,14.0,Low Fat,0.028497882,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.6579933,Non-Consumables,14
FDE04,19.75,Regular,0.017898483,Frozen Foods,179.766,OUT045,2002,Small,Tier 2,Supermarket Type1,7.756605,Food,11
NCB19,6.525,Low Fat,0.0865777,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.711143,Non-Consumables,14
FDV15,10.3,Low Fat,0.13662633,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.415679,Food,14
FDL58,5.78,Regular,0.0716361,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.46502,Food,14
FDA08,11.85,Regular,0.048967984,Fruits and Vegetables,164.1526,OUT045,2002,Small,Tier 2,Supermarket Type1,8.047061,Food,11
FDT43,16.35,Low Fat,0.020421704,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.1471677,Food,4
NCX06,17.6,Low Fat,0.015490482,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.53124,Non-Consumables,28
FDT20,10.5,Low Fat,0.040561587,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,6.292734,Food,16
FDB41,19.0,Regular,0.09286458,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,6.9004364,Food,16
NCN55,14.6,Low Fat,0.057875432,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.700988,Non-Consumables,14
